pilot,role_code,role_label,profile_id,profile_label,n_skills,technologies_covered,skills_included,suggested_hire_title,suggested_hire_esco_code,suggested_hire_esco_uri,esco_affinity_score,isco_group,optimal_k,silhouette_score,strategy
L,3,Operator,L_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,3,Hybrid disassembly,"Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial machinery assembler,8211.2,http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,0.251,8211,4,0.129,new hire
L,3,Operator,L_3_1,Effective human-system communication,2,Function-oriented assembly; Hybrid disassembly,Collaboration and knowledge about the cobot capabilities and parameters; Effective human-system communication,product quality controller,7543.9,http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9,0.247,7543,4,0.129,new hire
L,3,Operator,L_3_2,End effector control,1,Hybrid disassembly,End effector control,ski lift operator,7412.13,http://data.europa.eu/esco/occupation/3f0b6500-dfb5-40a8-9bce-72998ec3d344,0.149,7412,4,0.129,new hire
L,3,Operator,L_3_3,"Organizing and maintaining the specific data subsets, DPP data workflows",2,Hybrid disassembly; DPP Model,"Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.",data entry clerk,4132.1,http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,0.298,4132,4,0.129,new hire
O,2,Supervisor,O_2_0,Information and Data Literacy skills,3,DPP Model,simulation usage; Information and Data Literacy skills; Digital Content Creation skills,data engineer,2511.20,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,0.362,2511,2,0.085,new hire
O,2,Supervisor,O_2_1,Task Programming,3,Function-oriented assembly; Hybrid disassembly,Task Programming; think out of the box; Evaluate and verify parameters and adjust settings,building information modelling consultant,2421.6,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,0.295,2421,2,0.085,new hire
O,3,Operator,O_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,3,Hybrid disassembly,"Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial machinery assembler,8211.2,http://data.europa.eu/esco/occupation/be0e6189-46a5-4b90-8622-2d1988efba1a,0.251,8211,4,0.129,new hire
O,3,Operator,O_3_1,Effective human-system communication,2,Function-oriented assembly; Hybrid disassembly,Collaboration and knowledge about the cobot capabilities and parameters; Effective human-system communication,product quality controller,7543.9,http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9,0.247,7543,4,0.129,new hire
O,3,Operator,O_3_2,End effector control,1,Hybrid disassembly,End effector control,ski lift operator,7412.13,http://data.europa.eu/esco/occupation/3f0b6500-dfb5-40a8-9bce-72998ec3d344,0.149,7412,4,0.129,new hire
O,3,Operator,O_3_3,"Organizing and maintaining the specific data subsets, DPP data workflows",2,Hybrid disassembly; DPP Model,"Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.",data entry clerk,4132.1,http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892,0.298,4132,4,0.129,new hire
